100,91211,91209,91207,91206,91204,91202
95,55573,55571,55570,55568,55566,55564
90,53394,53392,53390,53389,53388,53386
85,51824,51823,51821,51820,51819,51817
80,48341,48338,48337,48335,48333,48332
75,46816,46814,46812,46811,46809,46807
70,43429,43427,43425,43423,43421,43420
65,41047,41045,41043,41041,41039,41038
60,38677,38675,38673,38672,38670,38668
55,37139,37137,37136,37134,37133,37131
50,33994,33992,33990,33989,33987,33985
45,31063,31061,31060,31058,31057,31055
40,29182,29180,29178,29176,29175,29173
35,25574,25572,25570,25568,25566,25565
30,23548,23546,23544,23544,23543,23541
25,22480,22478,22477,22476,22474,22473
20,18549,18547,18545,18543,18542,18540
15,15937,15935,15934,15933,15932,15931
10,14793,14791,14790,14788,14787,14786
5,14129,14127,14126,14125,14124,14123
0,13170,13168,13166,13165,13164,13163
