Linux 4.15.0-33-generic (themistocles) 	05/10/2019 	_x86_64_	(32 CPU)

10:58:47 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:58:48 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:58:48 PM       1      0.00      0.00      1.00      0.00      0.00     99.00
10:58:48 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
10:58:48 PM       3      0.00      0.00      0.99      0.00      0.00     99.01
10:58:48 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
10:58:48 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
10:58:48 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
10:58:48 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
10:58:48 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
10:58:48 PM       9     91.00      0.00      6.00      0.00      0.00      3.00
10:58:48 PM      10     90.10      0.00      5.94      0.00      0.00      3.96
10:58:48 PM      11     90.10      0.00      5.94      0.00      0.00      3.96
10:58:48 PM      12     89.11      0.00      6.93      0.00      0.00      3.96
10:58:48 PM      13     93.00      0.00      4.00      0.00      0.00      3.00
10:58:48 PM      14     89.00      0.00      8.00      0.00      0.00      3.00
10:58:48 PM      15      0.00      0.00      0.00      0.00      0.00    100.00

10:58:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:58:49 PM       0      6.19      0.00      7.22      0.00      0.00     86.60
10:58:49 PM       1      3.16      0.00      1.05      0.00      0.00     95.79
10:58:49 PM       2      6.00      0.00      3.00      0.00      0.00     91.00
10:58:49 PM       3      5.10      0.00      4.08      0.00      0.00     90.82
10:58:49 PM       4     16.67      0.00      8.33      0.00      0.00     75.00
10:58:49 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
10:58:49 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
10:58:49 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
10:58:49 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
10:58:49 PM       9     92.00      0.00      4.00      0.00      0.00      4.00
10:58:49 PM      10     89.00      0.00      4.00      0.00      0.00      7.00
10:58:49 PM      11     89.90      0.00      6.06      0.00      0.00      4.04
10:58:49 PM      12     87.25      0.00      6.86      0.00      0.00      5.88
10:58:49 PM      13     86.87      0.00      5.05      0.00      0.00      8.08
10:58:49 PM      14     87.13      0.00      6.93      0.00      0.00      5.94
10:58:49 PM      15      3.00      0.00      1.00      0.00      0.00     96.00

10:58:49 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:58:50 PM       0     14.85      0.00      9.90      0.00      0.00     75.25
10:58:50 PM       1     14.42      0.00      6.73      0.00      0.00     78.85
10:58:50 PM       2     11.22      0.00      6.12      0.00      0.00     82.65
10:58:50 PM       3     12.00      0.00      6.00      0.00      0.00     82.00
10:58:50 PM       4     40.00      0.00     14.00      0.00      0.00     46.00
10:58:50 PM       5      0.00      0.00      1.00      0.00      0.00     99.00
10:58:50 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
10:58:50 PM       7      0.00      0.00      0.00      0.00      0.00    100.00
10:58:50 PM       8      0.00      0.00      0.00      0.00      0.00    100.00
