Linux 4.15.0-33-generic (themistocles) 	05/11/2019 	_x86_64_	(32 CPU)

12:47:34 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:47:36 PM       0     13.20      0.00      3.05      0.00      0.00     83.76
12:47:36 PM       1      9.50      0.00      1.00      0.00      0.00     89.50
12:47:36 PM       2      1.51      0.00      2.01      0.00      0.00     96.48
12:47:36 PM       3      3.00      0.00      1.50      0.00      0.00     95.50
12:47:36 PM       4      2.51      0.00      1.51      0.00      0.00     95.98
12:47:36 PM       5      2.99      0.00      1.49      0.00      0.00     95.52
12:47:36 PM       6      4.00      0.00      2.00      0.00      0.00     94.00
12:47:36 PM       7      1.51      0.00      1.51      0.00      0.00     96.98
12:47:36 PM       8     22.11      0.00      3.52      0.00      0.00     74.37
12:47:36 PM       9     88.00      0.00      6.50      0.00      0.00      5.50
12:47:36 PM      10     90.95      0.00      4.02      0.00      0.00      5.03
12:47:36 PM      11     90.95      0.00      4.02      0.00      0.00      5.03
12:47:36 PM      12     88.18      0.00      7.39      0.00      0.00      4.43
12:47:36 PM      13     88.50      0.00      6.50      0.00      0.00      5.00
12:47:36 PM      14     88.44      0.00      6.53      0.00      0.00      5.03
12:47:36 PM      15      3.52      0.00      0.00      0.00      0.00     96.48

12:47:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:47:38 PM       0     28.87      0.00      5.67      0.00      0.00     65.46
12:47:38 PM       1     10.66      0.00      5.58      0.00      0.00     83.76
12:47:38 PM       2     17.59      0.00      6.03      0.00      0.00     76.38
12:47:38 PM       3     19.07      0.00      3.09      0.00      0.00     77.84
12:47:38 PM       4     19.19      0.00      6.57      0.00      0.00     74.24
12:47:38 PM       5     11.28      0.00      5.13      0.00      0.00     83.59
12:47:38 PM       6     12.24      0.00      7.65      0.00      0.00     80.10
12:47:38 PM       7     11.39      0.00      7.92      0.00      0.00     80.69
12:47:38 PM       8     49.25      0.00     14.43      0.00      0.00     36.32
12:47:38 PM       9     92.50      0.00      6.00      0.00      0.00      1.50
12:47:38 PM      10     94.50      0.00      5.00      0.00      0.00      0.50
12:47:38 PM      11     97.00      0.00      3.00      0.00      0.00      0.00
12:47:38 PM      12     93.00      0.00      5.50      0.00      0.00      1.50
12:47:38 PM      13     94.50      0.00      4.00      0.00      0.00      1.50
12:47:38 PM      14     94.03      0.00      5.97      0.00      0.00      0.00
12:47:38 PM      15      0.50      0.00      0.00      0.00      0.00     99.50

12:47:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:47:40 PM       0     26.50      0.00      8.00      0.00      0.00     65.50
12:47:40 PM       1     12.31      0.00      6.15      0.00      0.00     81.54
12:47:40 PM       2     12.24      0.00      6.12      0.00      0.00     81.63
12:47:40 PM       3     13.00      0.00      6.50      0.00      0.00     80.50
12:47:40 PM       4     12.18      0.00      5.58      0.00      0.00     82.23
12:47:40 PM       5     21.11      0.00      7.04      0.00      0.00     71.86
12:47:40 PM       6     15.58      0.00     10.05      0.00      0.00     74.37
12:47:40 PM       7     13.73      0.00      6.37      0.00      0.00     79.90
