Linux 4.15.0-33-generic (themistocles) 	05/11/2019 	_x86_64_	(32 CPU)

12:50:21 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:50:23 PM       0      7.07      0.00      0.51      0.00      0.00     92.42
12:50:23 PM       1     13.50      0.00      1.50      0.00      0.00     85.00
12:50:23 PM       2      4.95      0.00      2.97      0.00      0.00     92.08
12:50:23 PM       3     20.90      0.00      1.99      0.00      0.00     77.11
12:50:23 PM       4     18.00      0.00      1.50      0.00      0.00     80.50
12:50:23 PM       5     28.50      0.00      1.50      0.00      0.00     70.00
12:50:23 PM       6     29.00      0.00      1.50      0.00      0.00     69.50
12:50:23 PM       7     12.06      0.00      3.02      0.00      0.00     84.92
12:50:23 PM       8      4.98      0.00      2.99      0.00      0.00     92.04
12:50:23 PM       9     76.62      0.00      7.46      0.00      0.00     15.92
12:50:23 PM      10     81.31      0.00      5.56      0.00      0.00     13.13
12:50:23 PM      11     81.00      0.00      5.00      0.00      0.00     14.00
12:50:23 PM      12     82.41      0.00      5.53      0.00      0.00     12.06
12:50:23 PM      13     78.50      0.00      6.00      0.00      0.00     15.50
12:50:23 PM      14     79.60      0.00      5.47      0.00      0.00     14.93
12:50:23 PM      15      1.51      0.00      0.00      0.00      0.00     98.49

12:50:23 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:50:25 PM       0     19.37      0.00      6.81      0.00      0.00     73.82
12:50:25 PM       1     22.92      0.00      3.12      0.00      0.00     73.96
12:50:25 PM       2     13.33      0.00      6.15      0.00      0.00     80.51
12:50:25 PM       3     21.50      0.00      6.50      0.00      0.00     72.00
12:50:25 PM       4     21.11      0.00      7.04      0.00      0.00     71.86
12:50:25 PM       5     24.37      0.00      7.61      0.00      0.00     68.02
12:50:25 PM       6     25.76      0.00      6.06      0.00      0.00     68.18
12:50:25 PM       7     27.69      0.00      5.13      0.00      0.00     67.18
12:50:25 PM       8     16.84      0.00      9.69      0.00      0.00     73.47
12:50:25 PM       9     85.64      0.00      4.46      0.00      0.00      9.90
12:50:25 PM      10     88.67      0.00      4.43      0.00      0.00      6.90
12:50:25 PM      11     86.63      0.00      6.44      0.00      0.00      6.93
12:50:25 PM      12     87.00      0.00      5.00      0.00      0.00      8.00
12:50:25 PM      13     87.56      0.00      3.48      0.00      0.00      8.96
12:50:25 PM      14     87.50      0.00      4.50      0.00      0.00      8.00
12:50:25 PM      15      1.00      0.00      0.00      0.00      0.00     99.00

12:50:25 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:50:27 PM       0     23.59      0.00     14.36      0.00      0.00     62.05
12:50:27 PM       1     19.07      0.00      8.25      0.00      0.00     72.68
12:50:27 PM       2     16.42      0.00     11.94      0.00      0.00     71.64
12:50:27 PM       3     19.80      0.00     11.17      0.00      0.00     69.04
12:50:27 PM       4     17.77      0.00     12.69      0.00      0.00     69.54
12:50:27 PM       5     20.71      0.00     10.10      0.00      0.00     69.19
12:50:27 PM       6     23.00      0.00      9.50      0.00      0.00     67.50
12:50:27 PM       7     18.75      0.00     10.42      0.00      0.00     70.83
12:50:27 PM       8     23.62      0.00     15.08      0.00      0.00     61.31
12:50:27 PM       9     85.86      0.00      3.03      0.00      0.00     11.11
12:50:27 PM      10     77.61      0.00      5.47      0.00      0.00     16.92
12:50:27 PM      11     81.41      0.00      2.51      0.00      0.00     16.08
12:50:27 PM      12     76.41      0.00      3.08      0.00      0.00     20.51
12:50:27 PM      13     84.42      0.00      4.02      0.00      0.00     11.56
12:50:27 PM      14     77.89      0.00      4.02      0.00      0.00     18.09
12:50:27 PM      15      0.00      0.00      0.50      0.00      0.00     99.50

12:50:27 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:50:29 PM       0     26.29      0.00      9.79      0.00      0.00     63.92
12:50:29 PM       1     10.88      0.00      5.18      0.00      0.00     83.94
12:50:29 PM       2     13.78      0.00      6.63      0.00      0.00     79.59
12:50:29 PM       3     10.71      0.00      7.14      0.00      0.00     82.14
12:50:29 PM       4     10.82      0.00      6.19      0.00      0.00     82.99
12:50:29 PM       5     10.36      0.00      5.18      0.00      0.00     84.46
12:50:29 PM       6     13.27      0.00      4.59      0.00      0.00     82.14
